negara,provinsi,tanggal,terkonfirmasi,meninggal,sembuh,aktif
Russia,Vladimir Oblast,2021-01-02,18913,518,17010,1385
Russia,Volgograd Oblast,2021-01-02,35967,470,34173,1324
Russia,Vologda Oblast,2021-01-02,24078,438,19384,4256
Russia,Voronezh Oblast,2021-01-02,46980,1183,44056,1741
Russia,Yamalo-Nenets Autonomous Okrug,2021-01-02,32441,337,25271,6833
Russia,Yaroslavl Oblast,2021-01-02,22676,199,21281,1196
Russia,Zabaykalsky Krai,2021-01-02,27720,386,25487,1847
Russia,Adygea Republic,2021-01-03,11261,93,9224,1944
Russia,Altai Krai,2021-01-03,33542,907,31033,1602
Russia,Altai Republic,2021-01-03,13978,105,13157,716
Russia,Amur Oblast,2021-01-03,16273,105,14588,1580
Russia,Arkhangelsk Oblast,2021-01-03,44249,446,35207,8596
Russia,Astrakhan Oblast,2021-01-03,19537,397,12902,6238
Russia,Bashkortostan Republic,2021-01-03,19572,147,15210,4215
Russia,Belgorod Oblast,2021-01-03,22386,268,20246,1872
Russia,Bryansk Oblast,2021-01-03,23746,216,21663,1867
Russia,Buryatia Republic,2021-01-03,26271,601,23629,2041
Russia,Chechen Republic,2021-01-03,9003,94,4887,4022
Russia,Chelyabinsk Oblast,2021-01-03,35607,551,23301,11755
Russia,Chukotka Autonomous Okrug,2021-01-03,539,4,480,55
Russia,Chuvashia Republic,2021-01-03,16703,559,15052,1092
Russia,Dagestan Republic,2021-01-03,23939,1132,20599,2208
Russia,Ingushetia Republic,2021-01-03,12358,142,10322,1894
Russia,Irkutsk Oblast,2021-01-03,41326,1258,36476,3592
Russia,Ivanovo Oblast,2021-01-03,21821,529,16548,4744
Russia,Jewish Autonomous Okrug,2021-01-03,3795,72,3028,695
Russia,Kabardino-Balkarian Republic,2021-01-03,16126,266,14251,1609
Russia,Kaliningrad Oblast,2021-01-03,18437,179,16540,1718
Russia,Kalmykia Republic,2021-01-03,15068,200,12556,2312
Russia,Kaluga Oblast,2021-01-03,21556,177,20062,1317
Russia,Kamchatka Krai,2021-01-03,10327,82,9086,1159
Russia,Karachay-Cherkess Republic,2021-01-03,15390,41,13830,1519
Russia,Karelia Republic,2021-01-03,28613,168,22407,6038
Russia,Kemerovo Oblast,2021-01-03,26160,475,23273,2412
Russia,Khabarovsk Krai,2021-01-03,36089,204,31831,4054
Russia,Khakassia Republic,2021-01-03,17893,274,14936,2683
Russia,Khanty-Mansi Autonomous Okrug,2021-01-03,41964,550,38309,3105
Russia,Kirov Oblast,2021-01-03,26342,233,19927,6182
Russia,Komi Republic,2021-01-03,31109,582,29085,1442
Russia,Kostroma Oblast,2021-01-03,15276,237,11447,3592
Russia,Krasnodar Krai,2021-01-03,28292,977,19003,8312
Russia,Krasnoyarsk Krai,2021-01-03,47476,1760,42356,3360
Russia,Kurgan Oblast,2021-01-03,12316,175,10831,1310
Russia,Kursk Oblast,2021-01-03,21323,310,19222,1791
Russia,Leningrad Oblast,2021-01-03,24499,271,22010,2218
Russia,Lipetsk Oblast,2021-01-03,16519,265,12431,3823
Russia,Magadan Oblast,2021-01-03,7121,65,6592,464
Russia,Mari El Republic,2021-01-03,9335,122,8291,922
Russia,Mordovia Republic,2021-01-03,13754,95,11365,2294
Russia,Moscow,2021-01-03,824979,11433,645923,167623
Russia,Moscow Oblast,2021-01-03,160001,2948,116322,40731
Russia,Murmansk Oblast,2021-01-03,36869,663,33494,2712
Russia,Nenets Autonomous Okrug,2021-01-03,804,0,702,102
Russia,Nizhny Novgorod Oblast,2021-01-03,71303,1693,63533,6077
Russia,North Ossetia - Alania Republic,2021-01-03,12270,101,10867,1302
Russia,Novgorod Oblast,2021-01-03,18938,99,13974,4865
Russia,Novosibirsk Oblast,2021-01-03,28341,991,24518,2832
Russia,Omsk Oblast,2021-01-03,30881,894,28058,1929
Russia,Orel Oblast,2021-01-03,21890,275,19717,1898
Russia,Orenburg Oblast,2021-01-03,29285,352,25704,3229
Russia,Penza Oblast,2021-01-03,26649,326,21440,4883
Russia,Perm Krai,2021-01-03,31599,1164,25293,5142
Russia,Primorsky Krai,2021-01-03,29988,386,21516,8086
Russia,Pskov Oblast,2021-01-03,24073,101,12414,11558
Russia,Rostov Oblast,2021-01-03,52828,2111,43156,7561
Russia,Ryazan Oblast,2021-01-03,18565,168,16941,1456
Russia,Saint Petersburg,2021-01-03,253350,7925,153356,92069
Russia,Sakha (Yakutiya) Republic,2021-01-03,26878,399,24327,2152
Russia,Sakhalin Oblast,2021-01-03,16173,17,13643,2513
Russia,Samara Oblast,2021-01-03,32305,641,29811,1853
Russia,Saratov Oblast,2021-01-03,36128,426,30883,4819
Russia,Smolensk Oblast,2021-01-03,17534,342,13892,3300
Russia,Stavropol Krai,2021-01-03,35813,755,32165,2893
Russia,Sverdlovsk Oblast,2021-01-03,59793,1562,52144,6087
Russia,Tambov Oblast,2021-01-03,18131,193,16093,1845
Russia,Tatarstan Republic,2021-01-03,13546,193,10777,2576
Russia,Tomsk Oblast,2021-01-03,24922,218,20662,4042
Russia,Tula Oblast,2021-01-03,23457,775,20598,2084
Russia,Tver Oblast,2021-01-03,22962,456,18081,4425
Russia,Tyumen Oblast,2021-01-03,23834,204,22418,1212
Russia,Tyva Republic,2021-01-03,14824,157,13659,1008
Russia,Udmurt Republic,2021-01-03,20293,397,16625,3271
Russia,Ulyanovsk Oblast,2021-01-03,37135,474,33990,2671
Russia,Vladimir Oblast,2021-01-03,19088,521,17093,1474
